acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.0973,https://api.spotify.com/v1/audio-analysis/5AJ9hqTS2wcFQCELCFRO7A,0.852,155152,0.697,5AJ9hqTS2wcFQCELCFRO7A,0.00037,1,0.0678,-5.52,0,0.0439,138.029,4,https://api.spotify.com/v1/tracks/5AJ9hqTS2wcFQCELCFRO7A,audio_features,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,0.919
0.0107,https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3,0.898,274192,0.472,6AI3ezQ4o3HUoP6Dhudph3,0.0,1,0.141,-7.001,1,0.0776,101.061,4,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,audio_features,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,0.214
0.000938,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,0.599,142515,0.946,2GxrNKugF82CnoRFbQfzPf,0.0106,11,0.0826,-4.263,1,0.0447,151.647,4,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,audio_features,spotify:track:2GxrNKugF82CnoRFbQfzPf,0.747
0.0584,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,0.706,200600,0.691,7DSAEUvxU8FajXtRloy8M0,6.99e-05,0,0.0232,-4.775,1,0.0633,118.048,4,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,audio_features,spotify:track:7DSAEUvxU8FajXtRloy8M0,0.632
0.03,https://api.spotify.com/v1/audio-analysis/2HYFX63wP3otVIvopRS99Z,0.94,227000,0.89,2HYFX63wP3otVIvopRS99Z,0.0,9,0.06,-2.76,0,0.07,127.0,4,https://api.spotify.com/v1/tracks/2HYFX63wP3otVIvopRS99Z,audio_features,spotify:track:2HYFX63wP3otVIvopRS99Z,0.89
0.0026,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,0.943,138411,0.558,4xhsWYTOGcal8zt0J161CU,2.19e-06,2,0.0937,-4.911,1,0.0568,104.983,4,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,audio_features,spotify:track:4xhsWYTOGcal8zt0J161CU,0.606
0.151,https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii,0.472,180304,0.471,3xkHsmpQCBMytMJNiDf3Ii,0.0,10,0.14,-5.692,1,0.0603,105.029,3,https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii,audio_features,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,0.219
0.446,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,0.791,222000,0.499,6XjDF6nds4DE2BBbagZol6,2.41e-05,8,0.0899,-8.472,0,0.0509,99.986,4,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,audio_features,spotify:track:6XjDF6nds4DE2BBbagZol6,0.669
0.0768,https://api.spotify.com/v1/audio-analysis/6KD131fI0hLfrb7Uwa6jCw,0.739,198000,0.937,6KD131fI0hLfrb7Uwa6jCw,0.0,0,0.191,-4.271,1,0.128,130.025,4,https://api.spotify.com/v1/tracks/6KD131fI0hLfrb7Uwa6jCw,audio_features,spotify:track:6KD131fI0hLfrb7Uwa6jCw,0.91
0.346,https://api.spotify.com/v1/audio-analysis/70TGNwQDvF5b6GQWlYPr8p,0.884,140720,0.75,70TGNwQDvF5b6GQWlYPr8p,0.0,11,0.124,-5.236,1,0.198,140.114,4,https://api.spotify.com/v1/tracks/70TGNwQDvF5b6GQWlYPr8p,audio_features,spotify:track:70TGNwQDvF5b6GQWlYPr8p,0.88
0.00757,https://api.spotify.com/v1/audio-analysis/7221xIgOnuakPdLqT0F3nP,0.638,178206,0.855,7221xIgOnuakPdLqT0F3nP,0.0,7,0.245,-4.86,1,0.0264,127.986,4,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP,audio_features,spotify:track:7221xIgOnuakPdLqT0F3nP,0.731
0.0398,https://api.spotify.com/v1/audio-analysis/4yq8Oc51K2mgLfo9BjU3Rr,0.727,212649,0.837,4yq8Oc51K2mgLfo9BjU3Rr,1.2e-05,8,0.122,-5.028,0,0.0558,127.936,4,https://api.spotify.com/v1/tracks/4yq8Oc51K2mgLfo9BjU3Rr,audio_features,spotify:track:4yq8Oc51K2mgLfo9BjU3Rr,0.784
0.0452,https://api.spotify.com/v1/audio-analysis/629DixmZGHc7ILtEntuiWE,0.893,179587,0.4,629DixmZGHc7ILtEntuiWE,0.0823,11,0.0632,-7.981,0,0.0643,124.987,4,https://api.spotify.com/v1/tracks/629DixmZGHc7ILtEntuiWE,audio_features,spotify:track:629DixmZGHc7ILtEntuiWE,0.945
0.00709,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,0.814,267707,0.676,2tudvzsrR56uom6smgOcSf,1.28e-05,11,0.119,-4.67,0,0.231,162.012,4,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,audio_features,spotify:track:2tudvzsrR56uom6smgOcSf,0.312
