Track,Artist,Genre,Release Date,All Time Rank,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,AirPlay Spins,Shazam Counts,Explicit Track,Isrc,Spotify_id,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_signature,Valence
Million Dollar Baby,Tommy Richman,Latin,4/26/2024,1,390470936,92,84274754,5332281936,40975,2669262,0,QM24S2402528,5AJ9hqTS2wcFQCELCFRO7A,0.0973,0.852,155152.0,0.697,0.00037,1.0,0.0678,-5.52,0.0,0.0439,138.029,4.0,0.919
Not Like Us,Kendrick Lamar,R&B/Soul,5/4/2024,2,323703884,92,116347040,208339025,40778,1118279,1,USUG12400910,6AI3ezQ4o3HUoP6Dhudph3,0.0107,0.898,274192.0,0.472,0.0,1.0,0.141,-7.001,1.0,0.0776,101.061,4.0,0.214
I Like The Way You Kiss Me,Artemas,Pop,3/19/2024,3,601309283,92,122599116,3369120610,74333,5285340,0,QZJ842400387,2GxrNKugF82CnoRFbQfzPf,0.000938,0.599,142515.0,0.946,0.0106,11.0,0.0826,-4.263,1.0,0.0447,151.647,4.0,0.747
Flowers,Miley Cyrus,Pop,1/12/2023,4,2031280633,85,1096100899,14603725994,1474799,11822942,0,USSM12209777,7DSAEUvxU8FajXtRloy8M0,0.0584,0.706,200600.0,0.691,6.99e-05,0.0,0.0232,-4.775,1.0,0.0633,118.048,4.0,0.632
Lovin On Me,Jack Harlow,Latin,11/10/2023,6,670665438,83,131148091,2938686633,522042,4517131,1,USAT22311371,4xhsWYTOGcal8zt0J161CU,0.0026,0.943,138411.0,0.558,2.19e-06,2.0,0.0937,-4.911,1.0,0.0568,104.983,4.0,0.606
Beautiful Things,Benson Boone,Pop,1/18/2024,7,900158751,86,308723145,534915313,383478,9990302,0,USWB12307016,3xkHsmpQCBMytMJNiDf3Ii,0.151,0.472,180304.0,0.471,0.0,10.0,0.14,-5.692,1.0,0.0603,105.029,3.0,0.219
Gata Only,FloyyMenor,Indie/Alternative,2/2/2024,8,675079153,92,228382568,3804584163,17221,6063523,1,QZL382406049,6XjDF6nds4DE2BBbagZol6,0.446,0.791,222000.0,0.499,2.41e-05,8.0,0.0899,-8.472,0.0,0.0509,99.986,4.0,0.669
Band4Band,Central Cee,Latin,5/23/2024,10,90676573,86,32735244,974656200,3823,666302,1,USSM12404354,70TGNwQDvF5b6GQWlYPr8p,0.346,0.884,140720.0,0.75,0.0,11.0,0.124,-5.236,1.0,0.198,140.114,4.0,0.88
I Had Some Help,Post Malone,Pop,5/10/2024,11,250080413,91,32229063,2100000,62312,963413,1,USUM72404990,7221xIgOnuakPdLqT0F3nP,0.00757,0.638,178206.0,0.855,0.0,7.0,0.245,-4.86,1.0,0.0264,127.986,4.0,0.731
Lunch,Billie Eilish,R&B/Soul,5/17/2024,13,221636195,92,40022524,360017000,41344,450344,0,USUM72401991,629DixmZGHc7ILtEntuiWE,0.0452,0.893,179587.0,0.4,0.0823,11.0,0.0632,-7.981,0.0,0.0643,124.987,4.0,0.945
Bathroom Floor,Kids With Buns,R&B/Soul,10/7/2022,15,297185,12,6736502312,22234,1057,3288,0,NLC242100307,5JvEHdLTVmD6I9a3EMoOjL,0.0603,0.737,210444.0,0.583,0.0359,0.0,0.164,-9.703,0.0,0.0358,122.958,4.0,0.382
Lala,Myke Towers,Pop,3/22/2023,16,925655569,79,934302031,7499234052,92231,2765808,1,USWL12300002,7ABLbnD53cQK00mhcaOUVG,0.0739,0.708,197920.0,0.737,0.00162,1.0,0.0955,-4.045,1.0,0.0436,91.986,4.0,0.607
Fortnight,Taylor Swift,Indie/Alternative,4/18/2024,17,395433400,89,104673836,207317000,129968,1210029,0,USUG12401028,2OzhQlSqBEmt7hmkYxfT6m,0.502,0.504,228965.0,0.386,1.53e-05,11.0,0.0961,-10.976,1.0,0.0308,192.004,4.0,0.281
