Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track,isrc,spotify_id,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
Million Dollar Baby,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,390470936,30716,196631588,92,84274754,1713126,651565900,5332281936,210,40975,2669262,0,QM24S2402528,5AJ9hqTS2wcFQCELCFRO7A,0.0973,https://api.spotify.com/v1/audio-analysis/5AJ9hqTS2wcFQCELCFRO7A,0.852,155152.0,0.697,5AJ9hqTS2wcFQCELCFRO7A,0.00037,1.0,0.0678,-5.52,0.0,0.0439,138.029,4.0,https://api.spotify.com/v1/tracks/5AJ9hqTS2wcFQCELCFRO7A,audio_features,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,0.919,Latin
Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,323703884,28113,174597137,92,116347040,3486739,35223547,208339025,188,40778,1118279,1,USUG12400910,6AI3ezQ4o3HUoP6Dhudph3,0.0107,https://api.spotify.com/v1/audio-analysis/6AI3ezQ4o3HUoP6Dhudph3,0.898,274192.0,0.472,6AI3ezQ4o3HUoP6Dhudph3,0.0,1.0,0.141,-7.001,1.0,0.0776,101.061,4.0,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,audio_features,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,0.214,R&B/Soul
I Like The Way You Kiss Me,Artemas,3/19/2024,QZJ842400387,3,538.4,601309283,54331,211607669,92,122599116,2228730,275154237,3369120610,190,74333,5285340,0,QZJ842400387,2GxrNKugF82CnoRFbQfzPf,0.000938,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,0.599,142515.0,0.946,2GxrNKugF82CnoRFbQfzPf,0.0106,11.0,0.0826,-4.263,1.0,0.0447,151.647,4.0,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,audio_features,spotify:track:2GxrNKugF82CnoRFbQfzPf,0.747,Pop
Flowers,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,2031280633,269802,136569078,85,1096100899,10629796,1078757968,14603725994,394,1474799,11822942,0,USSM12209777,7DSAEUvxU8FajXtRloy8M0,0.0584,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,0.706,200600.0,0.691,7DSAEUvxU8FajXtRloy8M0,6.99e-05,0.0,0.0232,-4.775,1.0,0.0633,118.048,4.0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,audio_features,spotify:track:7DSAEUvxU8FajXtRloy8M0,0.632,Pop
Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,670665438,105892,175421034,83,131148091,1392593,214943489,2938686633,138,522042,4517131,1,USAT22311371,4xhsWYTOGcal8zt0J161CU,0.0026,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,0.943,138411.0,0.558,4xhsWYTOGcal8zt0J161CU,2.19e-06,2.0,0.0937,-4.911,1.0,0.0568,104.983,4.0,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,audio_features,spotify:track:4xhsWYTOGcal8zt0J161CU,0.606,Latin
Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,900158751,73118,201585714,86,308723145,4120760,29584940,534915313,280,383478,9990302,0,USWB12307016,3xkHsmpQCBMytMJNiDf3Ii,0.151,https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii,0.472,180304.0,0.471,3xkHsmpQCBMytMJNiDf3Ii,0.0,10.0,0.14,-5.692,1.0,0.0603,105.029,3.0,https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii,audio_features,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,0.219,Pop
Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,675079153,40094,211236940,92,228382568,1439495,338546668,3804584163,160,17221,6063523,1,QZL382406049,6XjDF6nds4DE2BBbagZol6,0.446,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,0.791,222000.0,0.499,6XjDF6nds4DE2BBbagZol6,2.41e-05,8.0,0.0899,-8.472,0.0,0.0509,99.986,4.0,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,audio_features,spotify:track:6XjDF6nds4DE2BBbagZol6,0.669,Indie/Alternative
Band4Band,Central Cee,5/23/2024,USSM12404354,10,330.6,90676573,10400,184199419,86,32735244,988682,121574500,974656200,191,3823,666302,1,USSM12404354,70TGNwQDvF5b6GQWlYPr8p,0.346,https://api.spotify.com/v1/audio-analysis/70TGNwQDvF5b6GQWlYPr8p,0.884,140720.0,0.75,70TGNwQDvF5b6GQWlYPr8p,0.0,11.0,0.124,-5.236,1.0,0.198,140.114,4.0,https://api.spotify.com/v1/tracks/70TGNwQDvF5b6GQWlYPr8p,audio_features,spotify:track:70TGNwQDvF5b6GQWlYPr8p,0.88,Latin
I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,250080413,16219,168766158,91,32229063,550191,184500,2100000,157,62312,963413,1,USUM72404990,7221xIgOnuakPdLqT0F3nP,0.00757,https://api.spotify.com/v1/audio-analysis/7221xIgOnuakPdLqT0F3nP,0.638,178206.0,0.855,7221xIgOnuakPdLqT0F3nP,0.0,7.0,0.245,-4.86,1.0,0.0264,127.986,4.0,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP,audio_features,spotify:track:7221xIgOnuakPdLqT0F3nP,0.731,Pop
Lunch,Billie Eilish,5/17/2024,USUM72401991,13,316.3,221636195,13800,197280692,92,40022524,1307290,45889000,360017000,244,41344,450344,0,USUM72401991,629DixmZGHc7ILtEntuiWE,0.0452,https://api.spotify.com/v1/audio-analysis/629DixmZGHc7ILtEntuiWE,0.893,179587.0,0.4,629DixmZGHc7ILtEntuiWE,0.0823,11.0,0.0632,-7.981,0.0,0.0643,124.987,4.0,https://api.spotify.com/v1/tracks/629DixmZGHc7ILtEntuiWE,audio_features,spotify:track:629DixmZGHc7ILtEntuiWE,0.945,R&B/Soul
