Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track
Million Dollar Baby,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,390470936,30716,196631588,92,84274754,1713126,651565900,5332281936,210,40975,2669262,0
Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,323703884,28113,174597137,92,116347040,3486739,35223547,208339025,188,40778,1118279,1
I Like The Way You Kiss Me,Artemas,3/19/2024,QZJ842400387,3,538.4,601309283,54331,211607669,92,122599116,2228730,275154237,3369120610,190,74333,5285340,0
Flowers,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,2031280633,269802,136569078,85,1096100899,10629796,1078757968,14603725994,394,1474799,11822942,0
Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,670665438,105892,175421034,83,131148091,1392593,214943489,2938686633,138,522042,4517131,1
Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,900158751,73118,201585714,86,308723145,4120760,29584940,534915313,280,383478,9990302,0
Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,675079153,40094,211236940,92,228382568,1439495,338546668,3804584163,160,17221,6063523,1
Band4Band,Central Cee,5/23/2024,USSM12404354,10,330.6,90676573,10400,184199419,86,32735244,988682,121574500,974656200,191,3823,666302,1
I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,250080413,16219,168766158,91,32229063,550191,184500,2100000,157,62312,963413,1
Lunch,Billie Eilish,5/17/2024,USUM72401991,13,316.3,221636195,13800,197280692,92,40022524,1307290,45889000,360017000,244,41344,450344,0
Bathroom Floor,Kids With Buns,10/7/2022,NLC242100307,15,301.6,297185,277,24445,12,6736502312,16785489,1088,22234,1,1057,3288,0
Lala,Myke Towers,3/22/2023,USWL12300002,16,299.9,925655569,103605,79944921,79,934302031,4294166,521725116,7499234052,94,92231,2765808,1
Fortnight,Taylor Swift,4/18/2024,USUG12401028,17,297.6,395433400,12784,177932568,89,104673836,2484083,25348800,207317000,221,129968,1210029,0
Greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,1258569694,105218,198845580,87,141646818,1514837,419319161,5456156211,207,667329,6973652,1
Blue,Billie Eilish,5/17/2024,USUM72401996,19,292.6,91272461,6499,52287548,86,16038053,569377,119740900,1225345800,76,181,257661,0
As It Was,Harry Styles,3/31/2022,USSM12200612,20,292.0,3301814535,407119,169783402,87,800899315,9101589,1633970617,15405881843,455,1777811,14967379,0
Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290.5,1065399331,170890,121712197,78,240970670,2749668,652428798,7095564106,158,400899,7559816,1
Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,547882871,24425,262343414,95,107550212,1825761,169144295,1379499000,298,37208,1373085,1
Texas Hold Em,Beyoncï¿,2/10/2024,USSM12401302,24,278.9,426700979,34044,152928632,86,35724356,437980,485200392,6518604175,159,309497,2100708,1
Baby Shark,Pinkfong,12/1/2015,KRE671700001,28,265.7,720822868,60945,7530769,71,16322756555,48757673,281762094,6577639193,33,284,2064420,0
Sheesh,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,124893397,3479,25936342,82,359896095,4907193,48327004,390081328,36,2188,191867,0
Water,Tyla,7/28/2023,USSM12305126,33,234.6,670376179,98450,150471020,83,265180930,2566846,369150956,3932956380,225,486952,6447136,0
Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,750154960,139141,103879363,79,118208096,1495758,196985853,2231749390,163,378114,7477917,0
Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,775135157,88239,180617454,87,139180960,1504385,49060857,597513595,215,605841,10517831,0
Fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,759998727,188142,80392612,80,94699547,1222012,311252391,3281790327,123,265291,3945184,1
Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214.5,3071214106,375201,64901153,71,3366447481,27240268,393814740,5861939942,549,573733,44842636,0
Birds Of A Feather,Billie Eilish,5/17/2024,USUM72401994,41,212.8,214237645,10871,202626837,92,11033725,251373,71078500,443104700,247,3400,285858,0
Im Good Blue,David Guetta,8/26/2022,UKWLG2200055,43,209.6,1658229422,262248,239957538,83,466080689,4324989,54258768,1051836430,285,935190,10973120,1
